"X","educ","income"
9533,10,76453.15
5407,1,68103.4
5854,5,84322.98
4388,14,156874.02
5346,7,137474.05
1708,20,34423.61
4701,12,34427.41
1835,12,27988.13
3111,9,51934.03
9453,19,48536.89
6309,12,318524.16
9911,16,44826.46
9249,11,60238.62
8275,19,22881.48
3468,14,20222.15
9058,13,51767.7
7377,14,56338.59
4172,8,65297.22
5214,17,79102.33
7385,15,81632.51
7090,6,80142.81
6518,11,30381.51
2163,10,45227.8
5497,10,60459.97
7633,6,50886.66
682,17,46120.79
9936,20,31599.82
7082,13,47374.34
1562,12,59261.72
6541,14,47172.23
3814,12,21995.04
9181,10,70394.2
4052,17,39167.48
8176,7,67475.06
5567,12,21996.32
1362,12,32210.96
2154,11,64196.79
3959,11,66058.81
6155,11,37462.07
4721,17,25777.5
386,12,69131.81
8333,12,45044.02
31,14,70391.62
4190,10,92417.59
3786,8,52056.95
7588,6,93502.12
8370,10,92104.03
5532,6,46928.21
4620,13,55040.79
5698,12,33984.89
204,9,67743.54
3247,17,41564.28
2421,12,62766.05
9908,7,74843.3
7632,9,90245.09
2432,19,34598.44
5242,17,34080.57
7567,7,31580.07
2363,16,30490.08
259,10,65202.16
5985,16,98120.9
5409,11,46251.48
7216,7,97573.48
9547,7,29314.38
1325,13,72337.89
4106,13,43285.72
4266,19,58014.12
3352,10,43752.01
7516,10,110239.56
4071,6,49540.31
2450,16,29516.48
1233,13,39922.75
1673,14,27345.83
3467,10,50449.67
4357,10,43042.79
2589,11,62967.08
6470,11,46501.42
5194,17,33297.03
2330,12,34220.82
1609,10,35570.53
3339,13,65402.01
6007,9,107966.33
5382,10,45203.93
1760,14,33090.04
9716,8,67427.49
5339,11,168160.4
6840,16,103909.57
3424,9,54997.42
8859,16,83320.56
5086,13,35244.01
4548,15,18526.35
9048,7,23594.39
1948,13,33583.92
5699,11,19826.15
1960,12,43992.32
646,13,54158.81
1060,14,83377.02
3127,11,28448.19
1264,11,27299.93
9520,14,90723.01
4084,13,49292.36
3082,15,166339.63
8857,8,52295.39
3494,14,30309.51
5732,16,31143.26
1204,14,40489.38
4374,13,66017.56
8433,11,48241.99
4120,8,111729.25
6823,5,37218.67
7727,12,17861.18
8124,16,78473.1
2085,15,36936.09
5423,10,20282
1743,12,135800.55
3984,9,50163.96
7880,20,17238.62
5791,8,42588.03
8570,9,101392.65
549,8,43154.67
5735,14,76911.84
9460,11,49213.06
2096,9,58170.73
4489,11,38714.34
9994,12,83172.55
9587,11,133776.04
4766,18,19436.22
5309,15,36602.91
8138,16,121732.46
8503,13,34799.37
6333,14,63012.97
1442,6,78166.73
5502,7,49233.59
2086,3,32367.14
9300,12,56618.45
319,13,24133.71
2894,8,52968.51
7570,14,45038.7
1666,20,40391.24
8312,11,14443.65
2760,11,104149.78
7499,17,41600.51
1557,9,44371.51
6585,15,63139.83
7367,10,32450.07
3571,14,35677.92
599,13,35082.42
9964,13,49706.47
6821,6,65944.1
134,13,66604.53
4520,20,39892.15
6150,14,84052.26
3200,15,41042.58
9071,9,45744.93
8860,14,42470.01
5920,14,52767.65
8241,10,56469.47
5596,9,14998.16
3311,11,59552.6
7508,5,33896.36
193,14,36174.79
4399,9,61483.84
7042,13,57114.57
3696,14,47809.23
191,11,45889.25
6590,12,39260.21
6263,8,38984.2
3699,7,94810.29
7690,8,24822.92
4913,12,57827.83
1316,10,47330.44
1397,11,33430.4
5655,15,75317.73
9744,7,54113.32
5720,9,23184.68
3716,14,32533.38
5323,18,98762.47
8950,11,40665.43
3318,9,40950
1464,12,41159.39
251,16,71329.81
2608,2,100977.74
8835,7,62563.22
2593,7,72205.17
9182,11,181748.71
2210,10,119429.97
5442,8,25979.04
6312,6,55294.02
6932,10,60365.18
6222,18,74195.25
665,9,42173.79
1517,8,36972.13
9622,12,74278.49
5544,8,101584.01
8637,15,52854.94
3043,8,64361.85
8287,9,46259.18
8571,10,19638.92
1366,17,19899.39
8812,14,26574.28
448,10,52910.14
242,6,48963.89
7071,10,36430.31
7996,8,22341.97
7070,14,58842.96
407,16,36752.01
6373,12,42420.79
7392,11,42108.75
2833,14,62522.3
1498,7,72071.04
8185,13,30628.01
4314,13,31913.65
3556,11,109715.81
4744,14,48612.34
79,13,50865.15
3236,14,54139
6381,10,33994.46
4675,10,107224.67
1831,11,66093.54
2977,16,46325.61
4518,10,78595.67
1820,5,94339.91
4695,10,96896.06
3765,13,182438.07
9069,11,34459.87
2406,11,50102.3
904,5,113390.32
4944,9,20037.68
4546,10,77387.07
9448,11,68070.28
4137,13,33321.76
3769,13,72294.53
8393,11,50561.65
52,8,16038.98
5345,9,40448.73
8872,11,62196.64
3842,7,52968.72
577,15,38836.47
4553,13,32817.43
1015,13,41850.78
4045,14,12839.43
1230,11,57487.49
2172,9,42485.97
2788,11,22738.44
3353,15,39970.66
6797,11,90872.69
2004,12,42273.3
7306,18,92648.81
606,7,35328.42
7593,7,20881.26
7948,12,36199.1
3080,20,52039.45
839,12,43192.15
3239,10,40489.06
7423,12,53568.75
8791,10,93789.17
1658,13,115196.6
9123,14,111461.55
2950,15,93013.57
8263,10,53800.36
5892,14,38647.31
4042,10,58922.69
4016,12,123531.57
6920,14,39217.57
4972,16,42264.01
3509,8,69105.03
