"","educ","income"
"369",8,98401.81
"370",12,33224.06
"371",8,73436.94
"372",15,35064.88
"373",4,96337.61
"374",13,49499.85
"375",16,29604.92
"376",8,40131.05
"377",11,57436.52
"378",9,50653.31
"379",14,21632.21
"380",12,95952.45
"381",14,47573.17
"382",10,20933.68
"383",14,68788.64
"384",12,39365.77
"385",12,70035.06
"386",12,69131.81
"387",16,21264.04
"388",18,67455.26
"389",10,38215.56
"390",15,40977.43
"391",10,50339.14
"392",13,56342.3
"393",10,47245.8
"394",8,72250.37
"395",9,25166.68
"396",17,38011.76
"397",12,57078.32
"398",15,51231.24
"399",18,102838.89
"400",11,50712.12
"401",7,90165.64
"402",10,21699.46
"403",10,48676.59
"404",13,51856.62
"405",12,29500.97
"406",13,110105.2
"407",16,36752.01
"408",12,64623.51
"409",14,82781.61
"410",14,128007.68
"411",15,64166.79
"412",10,40516.43
"413",17,14225.99
"414",10,51854.79
"415",11,41486.42
"416",16,76745.28
"417",16,106380.42
"418",8,22215.4
"419",11,53631.49
"420",9,30718.92
"421",12,86719.43
"422",13,50136.71
"423",13,63842.65
"424",9,42227.4
"425",15,102393.3
"426",11,24951.92
"427",10,87107.47
"428",11,142197.29
"429",10,73520.07
"430",12,45683.22
"431",14,41361.26
"432",13,46073.23
"433",9,52029.68
"434",12,60387.89
"435",15,110216.67
"436",12,61349.09
"437",9,57985.6
"438",12,62200.28
"439",8,93189.73
"440",8,88411.21
"441",11,37634.27
"442",14,52986.26
"443",12,43497.95
"444",19,33989.39
"445",16,39830.93
"446",12,51592.35
"447",13,20742.99
"448",10,52910.14
"449",14,20898.82
"450",10,49857.42
"451",7,34897.27
"452",8,36596.03
"453",14,34093.34
"454",16,32533.99
"455",13,80626.46
"456",9,39651.96
"457",10,51302.98
"458",8,82055.59
"459",14,54369.66
"460",7,52459.51
"461",11,29473.42
"462",7,73324.66
"463",14,99361.2
"464",20,64333.91
"465",10,40883.15
"466",14,71206.73
"467",9,14001.92
"468",12,36147.37
"469",17,52012.79
"470",13,140768.7
"471",15,28054.54
"472",11,34714.67
"473",9,38794.07
"474",9,38990.82
"475",8,55925.13
"476",8,61428.04
"477",12,38605.48
"478",12,52532.86
"479",15,52937.96
"480",12,30624.82
"481",14,24385.38
"482",10,55933.96
"483",9,47363.22
"484",20,46950
"485",13,111468.79
"486",8,83323.74
"487",14,63850.75
"488",12,24781.86
"489",6,31020.27
"490",9,103577.99
"491",11,93972.91
"492",7,23514.34
"493",10,75625.26
"494",18,33384.16
"495",11,107252.11
"496",16,46376.81
"497",12,64811.63
"498",11,98242.49
"499",13,88618.56
"500",9,47948.89
"501",14,90017.28
"502",11,36395.51
"503",13,58418.95
"504",7,38116.61
"505",14,61186.26
"506",9,25876.49
"507",18,67437.46
"508",15,92854.14
"509",11,94736.32
"510",11,46755.93
"511",6,162707.83
"512",12,37687.41
"513",20,59356.99
"514",12,25803.2
"515",15,59969.67
"516",14,56694.14
"517",17,23945.49
"518",12,50979.31
"519",16,58654.11
"520",18,63959.33
"521",10,55174.54
"522",9,34732.4
"523",13,25188.1
"524",10,104690.62
"525",10,42649.91
"526",11,92929.73
"527",9,18459.76
"528",8,137347.16
"529",12,29165.8
"530",20,43526.01
"531",6,74647.68
"532",16,56750.46
"533",12,34877.13
"534",12,15376.12
"535",13,51025.57
"536",11,32138.1
"537",15,11349.39
"538",14,40751.89
"539",9,61316.63
"540",10,36351.11
"541",15,49298.76
"542",9,60878.56
"543",10,20786.84
"544",14,93968.99
"545",12,48141.02
"546",11,201692.57
"547",15,92662.09
"548",12,125423.84
"549",8,43154.67
"550",9,37652.57
"551",9,62334.17
"552",14,55224.53
"553",12,24373.7
"554",14,79353.4
"555",16,67361.33
"556",18,60456.58
"557",11,49220.14
"558",20,35269.73
"559",13,31251.43
"560",8,30909.56
"561",15,15403.27
"562",10,130499.65
"563",10,85024.3
"564",13,31042.49
"565",10,46941.95
"566",12,43065.22
"567",15,43884.11
"568",11,44615.94
"569",8,70519.84
"570",9,46128.05
"571",12,57471.07
"572",8,72418.3
"573",11,63167.38
"574",13,47119.17
"575",10,61255.24
"576",11,15118.83
"577",15,38836.47
"578",9,105189.33
"579",11,58374.05
"580",11,102874.47
"581",13,42476.63
"582",6,30120.4
"583",9,31233.26
"584",9,51256.78
"585",17,25864.15
"586",17,90998.72
"587",16,57268.09
"588",8,42282.81
"589",12,93618.47
"590",14,56402.86
"591",15,43088.3
"592",11,21097.62
"593",11,25032.79
"594",11,38581.3
"595",16,40139.97
"596",15,56345.91
"597",14,26586.32
"598",11,21596.1
"599",13,35082.42
"600",13,101742.52
"601",20,35248.72
"602",9,54782.89
"603",13,47700.44
"604",12,35434.75
"605",9,30067.45
"606",7,35328.42
"607",15,28198.06
"608",5,76817.5
"609",8,49556.62
"610",13,53767.9
"611",14,48150.8
"612",11,44466.96
"613",11,55030.01
"614",15,52083.37
"615",14,40643.47
"616",15,91160.42
"617",20,83302.96
"618",14,42905.65
"619",12,50539.36
"620",4,49185.61
"621",14,63035.37
"622",15,84449.35
"623",9,28832.51
"624",17,42916.95
"625",11,24100.2
"626",13,39419.18
"627",12,57992.65
"628",11,44439.59
"629",11,31066.08
"630",15,49807.28
"631",11,38683.84
"632",20,46933.4
"633",17,41464.42
"634",15,35972.77
"635",16,92036.31
"636",11,17626.35
"637",10,49388.87
"638",17,59805.16
"639",6,40345.92
"640",12,46702.3
"641",9,50848.38
"642",12,52269.4
"643",18,49588.54
"644",11,23993.75
"645",11,123496.93
"646",13,54158.81
"647",11,41981.82
"648",14,30307.67
"649",15,79646.21
"650",12,55049.77
"651",18,63902.02
"652",10,57867.55
"653",14,83199.32
"654",11,63257.96
"655",11,49401.69
"656",20,48636.37
"657",13,73759.32
"658",11,55322.38
"659",14,40217.67
"660",13,70761.42
"661",10,41694.43
"662",12,25107.85
"663",14,151943.08
"664",13,45042.13
"665",9,42173.79
"666",17,127753.19
"667",12,110022.94
"668",11,19537.98
"669",19,44189.18
"670",12,15509.59
"671",11,37474.13
"672",16,45434.75
"673",15,45023.73
"674",8,26114.53
"675",14,40070.16
"676",11,45734.75
"677",16,30980.22
"678",8,43828.59
"679",14,27947.2
"680",15,12409.45
"681",17,46765.02
"682",17,46120.79
"683",15,22756.41
"684",7,64853.3
"685",10,82435.9
"686",19,55860.76
"687",11,59287.11
"688",11,47124.22
"689",10,43285.59
"690",12,62850.82
"691",14,37677.82
"692",13,75406.17
"693",13,42679.98
"694",10,69565.92
"695",12,142589.45
"696",10,50092.96
"697",5,35777.57
"698",14,81164.06
"699",11,38716.7
"700",9,68919.98
"701",15,38243.47
"702",13,50344.32
"703",8,54942.68
"704",11,41317.74
"705",15,119361.99
"706",7,42862.7
"707",13,49933.39
"708",6,70224.32
"709",10,71275.07
"710",12,53448.44
"711",17,46604.1
"712",15,83052.55
"713",12,59544.72
"714",7,82372.88
"715",13,39681.92
"716",9,143298.04
"717",5,113493.72
"718",12,31506.81
"719",15,42820.65
"720",15,34787.6
"721",18,94806.98
"722",20,58356.35
"723",17,54842.62
"724",18,33997.39
"725",14,120896.12
"726",18,89722.49
"727",16,61660.58
"728",11,116819.53
"729",13,54254.87
"730",8,41036.94
"731",20,14150.9
"732",10,31429.73
"733",16,20746.92
"734",13,15485.83
"735",12,13518.75
"736",11,37618.55
"737",9,59525.86
"738",8,32072.97
"739",12,55824.81
"740",6,28625.41
"741",13,94401.23
"742",9,26718.89
"743",15,86448.12
"744",10,44744.61
"745",18,26110.09
"746",12,64149.38
"747",15,101687.41
"748",13,44695.3
"749",6,66712.08
"750",15,49988.83
"751",9,55949.63
"752",13,43046.37
"753",11,39345.07
"754",11,32351.47
"755",19,51392.24
"756",15,31651.09
"757",17,63318.48
"758",5,48169.28
"759",10,16848.62
"760",14,11189.78
"761",11,20297.07
"762",14,27249.57
"763",16,37807.43
"764",16,60462.69
"765",11,26195.09
"766",12,17807.03
"767",20,58091.36
"768",13,55019.52
"769",12,34013.92
"770",7,56036.39
"771",9,42024.16
"772",11,112343.01
"773",10,45550.23
"774",9,28604.8
"775",17,76344.97
"776",8,77581.19
"777",15,77655.52
"778",10,73822.11
"779",13,25042.89
"780",12,59743
"781",20,27345.25
"782",14,49976.76
"783",12,50430.01
"784",15,49748.06
"785",12,34428.1
"786",9,35627.92
"787",12,34705.13
"788",12,91153.35
"789",13,24704.56
"790",6,21144.73
"791",13,69738.01
"792",7,40310.81
"793",15,42415.07
"794",14,109254.25
"795",19,13654.73
"796",12,31211.55
"797",12,48725.97
"798",12,68820.4
"799",12,83646.05
"800",12,99734.75
"801",14,56760.63
"802",14,66317.91
"803",10,66416.37
"804",13,94967.73
"805",15,53833.69
"806",13,64993.85
"807",9,50492.75
"808",9,67002.18
"809",11,81821.62
"810",14,49907.78
"811",8,37387.42
"812",8,29091.67
"813",10,26650.2
"814",6,28500.15
"815",9,49372.73
"816",12,26596.26
"817",13,11926.27
"818",10,113729.46
"819",8,85913.13
"820",8,50181.65
"821",8,58839.49
"822",13,52092.85
"823",11,58107.86
"824",15,45150.36
"825",7,71014.09
"826",14,69875.53
"827",11,137102.35
"828",8,72262.29
"829",11,161661.08
"830",11,76231.37
"831",3,118022.73
"832",9,63269.78
"833",20,52680.31
"834",14,61180.77
"835",10,105598.58
"836",20,65869.02
"837",20,75932.08
"838",7,17737.35
"839",12,43192.15
"840",14,60366.89
"841",12,42935.22
"842",9,58149.3
"843",12,84010.49
"844",18,73467.12
"845",11,51136.07
"846",11,74152.5
"847",16,51674.93
"848",15,102077.26
"849",6,28678.59
"850",7,145697.8
"851",16,23055.42
"852",13,36211.17
"853",14,62931.31
"854",7,137653.42
"855",15,43717.56
"856",17,65971.93
"857",13,37056.66
"858",12,91180.77
"859",18,24701.18
"860",8,65750.79
"861",7,102358.17
"862",11,83238.54
"863",13,80719.98
"864",8,56091.66
"865",5,31187.01
"866",18,99248.33
"867",12,33932
"868",13,77203.28
"869",11,34532.43
"870",13,47114.49
"871",8,35468.44
"872",15,21089.47
"873",9,57060.13
"874",12,84167.36
"875",14,61587.3
"876",13,59537.95
"877",17,35395.98
"878",9,116079.41
"879",5,33589.21
"880",11,92044.09
"881",8,113463.94
"882",8,81885.79
"883",11,22535.81
"884",18,48923.08
"885",13,48911.42
"886",10,96745.92
"887",8,36151.67
"888",11,59094.21
"889",13,49421.67
"890",18,49806.6
"891",8,56032.08
"892",11,53143.48
"893",9,76286.76
"894",8,38723.73
"895",12,133559.37
"896",6,92404.84
"897",11,50256.97
"898",11,30560.15
"899",11,49320.49
"900",6,50926.8
"901",5,63983.9
"902",13,48563.59
"903",11,26568.52
"904",5,113390.32
"905",9,36010.17
"906",8,31182.75
"907",15,18639.26
"908",13,24289.17
"909",11,28013.9
"910",15,46686.86
"911",14,103493.16
"912",8,45719.64
"913",13,58987.11
"914",10,48492.46
"915",13,125751.74
"916",17,53970.57
"917",9,65611.55
"918",11,53705.23
"919",15,29930.31
"920",14,52911.15
"921",11,40177.08
"922",10,98499.12
"923",17,34276.97
"924",19,52710.38
"925",10,70519.28
"926",20,58694.3
"927",11,38425.93
"928",10,41387.17
"929",13,89540.91
"930",6,39540.6
"931",15,63056.82
"932",17,81783.55
"933",6,59481.43
"934",10,22176.45
"935",12,75393.92
"936",12,112599.96
"937",13,60134.4
"938",9,56580.19
"939",11,65599.43
"940",9,27393.81
"941",13,45781.63
"942",11,39355.98
"943",8,126716.13
"944",8,101023.72
"945",16,76607.7
"946",12,39112.84
"947",10,65773.25
"948",12,22299.72
"949",7,81176.14
"950",12,66552.44
"951",12,64129.78
"952",13,46255.54
"953",9,81278.11
"954",9,115645.66
"955",9,21882.29
"956",14,56882.26
"957",7,66759.88
"958",16,28910.33
"959",8,82565.53
"960",8,111484.23
"961",10,105740.29
"962",11,60745.63
"963",15,117946.26
"964",14,61195.97
"965",6,43850.87
"966",9,44638.24
"967",13,72551.88
"968",16,85079.03
"969",9,29533.91
"970",14,62083
"971",16,39354.17
"972",9,57981.66
"973",9,31510.57
"974",20,34067.33
"975",14,51267.28
"976",13,23919.35
"977",18,36324.46
"978",13,9872.63
"979",14,47586.68
"980",9,126404.53
"981",10,30038.72
"982",13,53567.8
"983",11,33428.71
"984",13,63441.6
"985",14,62298.57
"986",13,60780.37
"987",12,55648.28
"988",10,79877.39
"989",12,22860.83
"990",7,43938.9
"991",14,47712.38
"992",11,24086.95
"993",14,56575.53
"994",12,63202.67
"995",13,43122.92
"996",14,40502.44
"997",9,117519.52
"998",20,83377.69
"999",19,21290.71
"1000",9,42748.58
"1001",9,43721.8
"1002",9,55901.38
"1003",5,49749.39
"1004",20,58757.27
"1005",10,49085.79
"1006",14,78591.63
"1007",15,87157.51
"1008",9,16465.53
"1009",9,110903.75
"1010",9,33788.58
"1011",13,16468.93
"1012",9,95510.36
"1013",13,47351.49
"1014",16,100270.6
"1015",13,41850.78
"1016",15,82876.25
"1017",14,20788.95
"1018",13,66057.35
"1019",13,27561.9
"1020",16,80667.33
"1021",8,45844.02
"1022",9,66663.29
"1023",11,52271.18
"1024",12,26658.62
"1025",14,54919.25
"1026",14,54773.63
"1027",11,29717.4
"1028",10,40789.82
"1029",12,51988.68
"1030",15,202871.92
"1031",13,46154.79
"1032",16,21843.97
"1033",11,51632.32
"1034",15,44447.66
"1035",15,39263.65
"1036",14,71541.61
"1037",13,59489.87
"1038",11,56196.38
"1039",11,72588.3
"1040",12,38510.74
"1041",12,56315.09
"1042",15,119881.98
"1043",11,63148.88
"1044",11,18100.19
"1045",10,73311.14
"1046",11,19079.33
"1047",11,19717.86
"1048",15,39284.09
"1049",12,89002.58
"1050",11,46157.94
"1051",20,52535.99
"1052",14,36388.59
"1053",18,34092.89
"1054",11,96831.02
"1055",17,36015.44
"1056",12,44764.17
"1057",12,26597.06
"1058",13,52096.71
"1059",8,46378.14
"1060",14,83377.02
"1061",10,26417.1
"1062",13,33973.91
"1063",16,82505.93
"1064",8,30384.71
"1065",13,60777.8
"1066",14,83998.15
"1067",7,74305
"1068",14,17020.49
"1069",12,98895.91
"1070",17,25124.91
"1071",8,85987.27
"1072",14,81988.06
"1073",9,22096.48
"1074",6,42278.62
"1075",9,74019.38
"1076",7,22580.3
"1077",13,44204.21
"1078",9,28911.06
"1079",8,126509.68
"1080",20,66769.1
"1081",12,105259.26
"1082",14,35485.75
"1083",16,176855.35
"1084",9,34230.06
"1085",13,76631.81
"1086",13,37950.93
"1087",9,21909.12
"1088",10,101445.27
"1089",11,42410.39
"1090",11,34058.7
"1091",5,47761.86
"1092",20,36584.65
"1093",10,65178.72
"1094",11,114464.82
"1095",17,26827.24
"1096",9,22279.85
"1097",17,54272.08
"1098",19,62772.44
"1099",10,41074.52
"1100",12,33150.96
"1101",20,60202.62
"1102",15,73887.47
"1103",19,35462.47
"1104",14,29858.91
"1105",13,67283.57
"1106",16,35555.81
"1107",15,54587.52
"1108",11,61085.14
"1109",11,63991.65
"1110",10,39750.36
"1111",16,47306.45
"1112",10,37193.34
"1113",12,24517.41
"1114",7,37695.75
"1115",15,79448.8
"1116",14,56494.62
"1117",7,43726.75
"1118",14,47738.17
"1119",11,96008.32
"1120",11,114755.72
"1121",14,54893.38
"1122",15,43731.7
"1123",20,104715.15
"1124",14,39203.27
"1125",7,53683.86
"1126",11,35481.21
"1127",16,30157.53
"1128",11,28556.53
"1129",10,70750.04
"1130",10,63874.47
"1131",11,32939.1
"1132",9,35326.21
"1133",5,66707.4
"1134",11,43107.54
"1135",15,42939.34
"1136",6,69319.02
"1137",10,51469.44
"1138",8,68552.61
"1139",12,24419.7
"1140",3,57987.67
"1141",7,59969.12
"1142",11,68228.11
"1143",11,43356.63
"1144",13,131150.33
"1145",16,105573.15
"1146",12,41834.93
"1147",6,36518.02
"1148",10,88322.22
"1149",12,40256.72
"1150",16,57584.55
"1151",14,37645.93
"1152",16,44684.67
"1153",6,42460.69
"1154",13,86512.86
"1155",11,22618.79
"1156",16,26901.23
"1157",10,59379.34
"1158",9,79147.15
"1159",12,50276
"1160",13,57729.99
"1161",11,117907.29
"1162",15,57266.65
"1163",14,98981.16
"1164",11,32216.71
"1165",15,69016.14
"1166",13,28652.85
"1167",14,56133.26
"1168",9,43866.1
"1169",9,41772.17
"1170",14,82897.68
"1171",11,49639.41
"1172",11,36322.37
"1173",14,135788.97
"1174",6,143156.29
"1175",14,31106.5
"1176",17,82577.31
"1177",10,73302.56
"1178",7,59529.72
"1179",14,61271.57
"1180",10,89860.94
"1181",9,106662
"1182",13,24553.09
"1183",12,46710.51
"1184",16,48836.33
"1185",6,127293.56
"1186",20,70983.23
"1187",13,30779.4
"1188",7,67634.86
"1189",13,20809.19
"1190",14,66568.58
"1191",16,66267.53
"1192",10,123708.95
"1193",13,49725.2
"1194",15,68687.69
"1195",16,57313.19
"1196",14,35709.92
"1197",13,38406.84
"1198",8,28420.03
"1199",9,66824.87
"1200",14,56806.41
"1201",13,33934.39
"1202",11,28775.14
"1203",11,32497.76
"1204",14,40489.38
"1205",12,15371.61
"1206",9,50666.19
"1207",15,78612.07
"1208",6,50828.76
"1209",11,87732.27
"1210",11,42345.03
"1211",15,53789.95
"1212",14,36430.87
"1213",7,21072.62
"1214",14,58639.46
"1215",13,64765.83
"1216",16,60253.19
"1217",9,25296.39
"1218",10,36746.35
"1219",7,29603.93
"1220",19,34041.75
"1221",15,44614.13
"1222",14,35455.77
"1223",8,73141.61
"1224",17,42689.77
"1225",10,34981.91
"1226",13,35086.67
"1227",10,73916.04
"1228",10,34590.77
"1229",8,52829.63
"1230",11,57487.49
"1231",9,30441.22
"1232",13,96081.04
"1233",13,39922.75
"1234",11,67225.3
"1235",15,19952.88
"1236",13,33388.01
"1237",17,102645.22
"1238",11,32166.99
"1239",6,102770.94
"1240",15,55090.75
"1241",17,39334.51
"1242",17,49611.1
"1243",11,28886.82
"1244",9,38962.66
"1245",11,81570.44
"1246",10,29459.71
"1247",12,64268.79
"1248",11,39839.99
"1249",9,50431.5
"1250",13,31151.03
"1251",15,75206.17
"1252",8,84181.77
"1253",7,53099.45
"1254",13,59337.32
"1255",19,26837.61
"1256",20,105105.32
"1257",11,52794.42
"1258",14,82839.02
"1259",10,122688.82
"1260",15,27175.35
"1261",13,28444.55
"1262",13,74298.86
"1263",7,78788.86
"1264",11,27299.93
"1265",16,47207.55
"1266",12,71090.79
"1267",17,59906.61
"1268",11,41877.19
"1269",14,29958.52
"1270",6,125511.64
"1271",8,14717.92
"1272",9,27206.89
"1273",12,71277.46
"1274",8,100071.93
"1275",7,71635.8
"1276",13,72085.81
"1277",19,41065.73
"1278",17,52935.41
"1279",12,124053.43
"1280",10,102653.24
"1281",16,91256.67
"1282",16,41430.8
"1283",11,17172.3
"1284",18,23356.39
"1285",13,137666.02
"1286",9,40466.73
"1287",11,45702.25
"1288",12,51596.97
"1289",16,28132.81
"1290",9,46684
"1291",7,40539.27
"1292",6,73206.03
"1293",15,50420.05
"1294",9,26982.26
"1295",11,40518.08
"1296",10,28854.08
"1297",9,78899.02
"1298",9,46989.27
"1299",13,78359.81
"1300",9,54488.85
"1301",5,42707.84
"1302",10,17169.65
"1303",18,72124.8
"1304",14,51247.92
"1305",4,45636.27
"1306",10,44055.13
"1307",13,51594.23
"1308",10,73464.67
"1309",14,58650.64
"1310",13,24737.18
"1311",16,61033.29
"1312",14,74619.54
"1313",12,63050.33
"1314",9,79874.78
"1315",14,20042.53
"1316",10,47330.44
"1317",9,69398.58
"1318",12,51929.09
"1319",6,54156.56
"1320",15,67844.12
"1321",17,80142.33
"1322",15,31862.14
"1323",15,35344.3
"1324",15,37191.27
"1325",13,72337.89
"1326",9,48516.84
"1327",12,71200.3
"1328",10,45863.22
"1329",12,32972.17
"1330",12,116926.78
"1331",12,133348.91
"1332",13,49696.98
"1333",12,26426.09
"1334",16,110413.35
"1335",15,48036.15
"1336",12,63454.6
"1337",14,23968.69
"1338",20,118862.73
"1339",17,116344.28
"1340",18,54430.55
"1341",10,37100.72
"1342",10,16569.9
"1343",10,41333.1
"1344",10,72198.85
"1345",15,73433.84
"1346",9,36756.84
"1347",7,113335.5
"1348",12,65988.93
"1349",11,50932.37
"1350",7,45301.12
"1351",10,37720.99
"1352",20,40809.78
"1353",14,56568.27
"1354",9,48753.38
"1355",14,107685.7
"1356",15,49307.06
"1357",9,34704.37
"1358",5,19179.61
"1359",11,90426.68
"1360",9,43256.27
"1361",6,24770.21
"1362",12,32210.96
"1363",7,178308.82
