"row_id","love","hapiness","cluster","hand_cluster","function_cluster","multiple_start_cluster","scaled_cluster"
50,0.54348535,0.55751801,"Head",2,2,2,2
51,0.441192395,0.515412881,"Head",2,2,2,2
52,0.570696482,0.626295937,"Head",3,3,1,3
53,0.706547057,0.352661536,"Head",2,2,2,2
54,0.443121469,0.632249213,"Head",2,2,2,1
55,0.323144616,0.51426241,"Head",2,2,2,2
56,0.700978714,0.60583303,"Head",3,3,1,3
57,0.679440511,0.33386384,"Head",2,2,2,2
58,0.715937438,0.53697693,"Head",3,3,1,3
59,0.479752363,0.700787528,"Head",1,1,3,1
60,0.410038387,0.509988752,"Head",2,2,2,2
61,0.490086125,0.629422931,"Head",2,2,2,3
62,0.466037476,0.626851254,"Head",2,2,2,1
63,0.323512006,0.63934958,"Head",1,1,3,1
64,0.447337519,0.73483245,"Head",1,1,3,1
65,0.555657132,0.571502288,"Head",2,2,2,2
66,0.570704915,0.332248365,"Head",2,2,2,2
67,0.62278129,0.330693138,"Head",2,2,2,2
68,0.600688923,0.292814702,"Head",2,2,2,2
69,0.667654257,0.575272442,"Head",3,3,1,3
70,0.309970328,0.452652917,"Head",2,2,2,2
71,0.612763091,0.502756861,"Head",2,2,2,2
72,0.328603507,0.441312937,"Head",2,2,2,2
73,0.306565375,0.351961443,"Head",2,2,2,2
74,0.605176558,0.482149292,"Head",2,2,2,2
75,0.440146904,0.495593601,"Head",2,2,2,2
76,0.59814453,0.553260375,"Head",2,2,2,2
77,0.44347199,0.462253594,"Head",2,2,2,2
78,0.422174903,0.341039015,"Head",2,2,2,2
79,0.455506487,0.411712028,"Head",2,2,2,2
80,0.472055587,0.716568367,"Head",1,1,3,1
81,0.734719185,0.575853633,"Head",3,3,1,3
82,0.515538126,0.724575685,"Head",3,3,1,3
83,0.32731496,0.626380747,"Head",1,1,3,1
84,0.434634138,0.363415816,"Head",2,2,2,2
85,0.38319743,0.276210001,"Head",2,2,2,2
86,0.480222628,0.398718037,"Head",2,2,2,2
87,0.53796144,0.607739691,"Head",2,2,2,3
88,0.31976326,0.624191564,"Head",1,1,3,1
89,0.528466659,0.548024492,"Head",2,2,2,2
90,0.477101997,0.402280693,"Head",2,2,2,2
91,0.333318073,0.468497632,"Head",2,2,2,2
92,0.675384204,0.319702738,"Head",2,2,2,2
93,0.40951456,0.4284274,"Head",2,2,2,2
94,0.500661883,0.626592317,"Head",2,2,2,3
95,0.498277632,0.538201034,"Head",2,2,2,2
96,0.501263214,0.574849165,"Head",2,2,2,2
97,0.689240924,0.386320216,"Head",2,2,2,2
98,0.744636628,0.486579499,"Head",3,3,1,2
99,0.54773062,0.668460275,"Head",3,3,1,3
100,0.391539638,0.57762942,"Head",2,2,2,2
101,0.557290308,0.617882288,"Head",3,3,1,3
102,0.541604228,0.479915255,"Head",2,2,2,2
103,0.513796725,0.628531342,"Head",2,2,2,3
104,0.479166991,0.649591184,"Head",2,2,2,1
105,0.672037022,0.404096438,"Head",2,2,2,2
106,0.395822788,0.658845262,"Head",1,1,3,1
107,0.578742677,0.694188443,"Head",3,3,1,3
108,0.605890488,0.530393649,"Head",2,2,2,2
109,0.407653341,0.440707201,"Head",2,2,2,2
110,0.427227565,0.618506474,"Head",2,2,2,1
111,0.516001237,0.458530415,"Head",2,2,2,2
112,0.591335673,0.265449068,"Head",2,2,2,2
113,0.486231896,0.463546979,"Head",2,2,2,2
114,0.411436412,0.404495539,"Head",2,2,2,2
115,0.410134826,0.494647077,"Head",2,2,2,2
116,0.467999429,0.412873166,"Head",2,2,2,2
117,0.581955928,0.687203292,"Head",3,3,1,3
118,0.67930805,0.383563122,"Head",2,2,2,2
119,0.389370545,0.573405704,"Head",2,2,2,2
120,0.496063833,0.329089915,"Head",2,2,2,2
121,0.678104821,0.332927481,"Head",2,2,2,2
122,0.349690312,0.432993399,"Head",2,2,2,2
123,0.285387274,0.444061977,"Head",2,2,2,2
124,0.480281031,0.746557417,"Head",1,1,3,1
125,0.275868306,0.424930865,"Head",2,2,2,2
126,0.716596464,0.496176813,"Head",3,3,1,2
127,0.627569008,0.552346722,"Head",3,3,1,2
128,0.3086352,0.606506002,"Head",1,1,3,1
129,0.518435074,0.625593318,"Head",2,2,2,3
130,0.32527277,0.518663879,"Head",2,2,2,2
131,0.536421103,0.31928528,"Head",2,2,2,2
132,0.636050643,0.452177164,"Head",2,2,2,2
133,0.655083675,0.673769541,"Head",3,3,1,3
134,0.381049287,0.344284865,"Head",2,2,2,2
135,0.69774182,0.500285479,"Head",3,3,1,2
136,0.29387974,0.566031878,"Head",1,1,3,1
137,0.395057307,0.307761411,"Head",2,2,2,2
138,0.587528314,0.502985044,"Head",2,2,2,2
139,0.475772436,0.657116296,"Head",2,2,2,1
140,0.576591312,0.607363057,"Head",3,3,1,3
141,0.431207823,0.453604839,"Head",2,2,2,2
142,0.427137401,0.732422242,"Head",1,1,3,1
143,0.509538178,0.693177716,"Head",3,3,1,3
144,0.518169833,0.511140999,"Head",2,2,2,2
145,0.448645586,0.681190318,"Head",1,1,3,1
146,0.682341734,0.430784155,"Head",2,2,2,2
147,0.530966607,0.298528927,"Head",2,2,2,2
148,0.6008978,0.663542962,"Head",3,3,1,3
149,0.467801693,0.394783616,"Head",2,2,2,2
150,0.591564414,0.385065262,"Head",2,2,2,2
151,0.387755004,0.679711139,"Head",1,1,3,1
152,0.367824535,0.437216486,"Head",2,2,2,2
153,0.436390377,0.411283289,"Head",2,2,2,2
154,0.626036707,0.433024003,"Head",2,2,2,2
155,0.477643048,0.717473875,"Head",1,1,3,1
156,0.505477179,0.539542428,"Head",2,2,2,2
157,0.522194318,0.703180815,"Head",3,3,1,3
158,0.4717769,0.60646475,"Head",2,2,2,2
159,0.505053171,0.669409995,"Head",3,3,1,3
160,0.650228341,0.570699786,"Head",3,3,1,3
161,0.309617037,0.526590983,"Head",2,2,2,2
162,0.624950907,0.447610198,"Head",2,2,2,2
163,0.50536207,0.675069064,"Head",3,3,1,3
164,0.623523013,0.64217533,"Head",3,3,1,3
165,0.510621673,0.419119158,"Head",2,2,2,2
166,0.291118877,0.36246463,"Head",2,2,2,2
167,0.341352042,0.483689738,"Head",2,2,2,2
168,0.61628997,0.462639257,"Head",2,2,2,2
169,0.706860612,0.461307721,"Head",2,2,2,2
170,0.51860516,0.372526473,"Head",2,2,2,2
171,0.681963345,0.573433214,"Head",3,3,1,3
172,0.56635785,0.491353906,"Head",2,2,2,2
173,0.708620206,0.418447817,"Head",2,2,2,2
174,0.524969237,0.485610262,"Head",2,2,2,2
175,0.661533203,0.549532458,"Head",3,3,1,3
176,0.465675239,0.566996966,"Head",2,2,2,2
177,0.641178804,0.468606179,"Head",2,2,2,2
178,0.435443785,0.621154563,"Head",2,2,2,1
179,0.358125274,0.477791281,"Head",2,2,2,2
180,0.449373102,0.488194115,"Head",2,2,2,2
181,0.363992875,0.603207977,"Head",1,1,3,1
182,0.412021892,0.389328502,"Head",2,2,2,2
183,0.589004724,0.726746496,"Head",3,3,1,3
184,0.431326795,0.575065504,"Head",2,2,2,2
185,0.492707749,0.381474838,"Head",2,2,2,2
186,0.580920338,0.279201336,"Head",2,2,2,2
187,0.614977747,0.489429364,"Head",2,2,2,2
188,0.490851774,0.363788212,"Head",2,2,2,2
189,0.412640416,0.412251773,"Head",2,2,2,2
190,0.32535299,0.350407074,"Head",2,2,2,2
191,0.697467863,0.493922154,"Head",3,3,1,2
192,0.496733659,0.705996266,"Head",3,3,1,3
193,0.368501934,0.538240824,"Head",2,2,2,2
194,0.377834872,0.334700629,"Head",2,2,2,2
195,0.492117042,0.263301688,"Head",2,2,2,2
196,0.401130102,0.324996359,"Head",2,2,2,2
197,0.688696049,0.641825213,"Head",3,3,1,3
198,0.441495338,0.273923992,"Head",2,2,2,2
199,0.444583607,0.402545571,"Head",2,2,2,2
200,0.646762763,0.689444723,"Head",3,3,1,3
201,0.495218299,0.542900426,"Head",2,2,2,2
202,0.619717135,0.693812628,"Head",3,3,1,3
203,0.297349536,0.483082484,"Head",2,2,2,2
204,0.620988966,0.496619436,"Head",2,2,2,2
205,0.568422238,0.320046137,"Head",2,2,2,2
206,0.480841979,0.380708509,"Head",2,2,2,2
207,0.513240509,0.469001847,"Head",2,2,2,2
208,0.697731289,0.397721969,"Head",2,2,2,2
209,0.46275716,0.546525462,"Head",2,2,2,2
210,0.731161307,0.474336385,"Head",3,3,1,2
211,0.450744208,0.309055908,"Head",2,2,2,2
212,0.461485334,0.453547169,"Head",2,2,2,2
213,0.643501848,0.646383899,"Head",3,3,1,3
214,0.330097533,0.614298001,"Head",1,1,3,1
215,0.602870159,0.60084842,"Head",3,3,1,3
216,0.43477018,0.557562737,"Head",2,2,2,2
217,0.693294895,0.565453459,"Head",3,3,1,3
218,0.524757221,0.264012072,"Head",2,2,2,2
219,0.50029179,0.541869235,"Head",2,2,2,2
220,0.652220689,0.661786206,"Head",3,3,1,3
221,0.290258481,0.350733484,"Head",2,2,2,2
222,0.507168745,0.506485021,"Head",2,2,2,2
223,0.291768639,0.575869221,"Head",1,1,3,1
224,0.375520317,0.689876099,"Head",1,1,3,1
225,0.617353582,0.528187577,"Head",2,2,2,2
226,0.631710072,0.579553634,"Head",3,3,1,3
227,0.408939662,0.498329322,"Head",2,2,2,2
228,0.681252458,0.316444056,"Head",2,2,2,2
229,0.440745362,0.51965318,"Head",2,2,2,2
230,0.372842206,0.47187573,"Head",2,2,2,2
231,0.411942536,0.491836953,"Head",2,2,2,2
232,0.743425497,0.436169222,"Head",2,2,2,2
233,0.494227905,0.613345616,"Head",2,2,2,2
234,0.593599087,0.410160386,"Head",2,2,2,2
235,0.572970293,0.728394506,"Head",3,3,1,3
236,0.659102462,0.640855419,"Head",3,3,1,3
237,0.609492664,0.606361532,"Head",3,3,1,3
238,0.488066976,0.51804265,"Head",2,2,2,2
239,0.572569676,0.476282701,"Head",2,2,2,2
240,0.435517532,0.527978445,"Head",2,2,2,2
241,0.653921233,0.463350626,"Head",2,2,2,2
242,0.5068256,0.501064744,"Head",2,2,2,2
243,0.494743187,0.55971508,"Head",2,2,2,2
244,0.497416782,0.40614885,"Head",2,2,2,2
245,0.523387127,0.341093611,"Head",2,2,2,2
246,0.464599928,0.529103362,"Head",2,2,2,2
247,0.594402453,0.605752468,"Head",3,3,1,3
248,0.567737526,0.345477804,"Head",2,2,2,2
249,0.612060627,0.348437758,"Head",2,2,2,2
250,0.277289017,0.482031446,"Head",2,2,2,2
251,0.339198188,0.650836679,"Head",1,1,3,1
252,0.414182506,0.582043372,"Head",2,2,2,2
253,0.467319985,0.573999813,"Head",2,2,2,2
254,0.438974218,0.391411396,"Head",2,2,2,2
255,0.416556258,0.585516571,"Head",2,2,2,2
256,0.416365521,0.358009443,"Head",2,2,2,2
257,0.447226773,0.323946928,"Head",2,2,2,2
258,0.552948659,0.61175751,"Head",2,2,2,3
259,0.386077108,0.558459202,"Head",2,2,2,2
260,0.746576955,0.485244779,"Head",3,3,1,2
261,0.678768319,0.544416695,"Head",3,3,1,3
262,0.441744337,0.530424316,"Head",2,2,2,2
263,0.704135581,0.429078351,"Head",2,2,2,2
264,0.602587258,0.651917886,"Head",3,3,1,3
265,0.451500674,0.549416815,"Head",2,2,2,2
266,0.344067695,0.31452274,"Head",2,2,2,2
267,0.657166453,0.339549414,"Head",2,2,2,2
268,0.539113399,0.403019829,"Head",2,2,2,2
269,0.578591159,0.275680133,"Head",2,2,2,2
270,0.751752666,0.498094167,"Head",3,3,1,3
271,0.611623244,0.354714424,"Head",2,2,2,2
272,0.443941054,0.589124434,"Head",2,2,2,2
273,0.536475266,0.469434793,"Head",2,2,2,2
274,0.637559091,0.584709283,"Head",3,3,1,3
275,0.322681119,0.466587682,"Head",2,2,2,2
276,0.709328953,0.636966691,"Head",3,3,1,3
277,0.416706745,0.40979298,"Head",2,2,2,2
278,0.402268437,0.446011764,"Head",2,2,2,2
279,0.631241162,0.456621275,"Head",2,2,2,2
280,0.51387299,0.295072307,"Head",2,2,2,2
281,0.563068195,0.691523335,"Head",3,3,1,3
282,0.354084676,0.484169476,"Head",2,2,2,2
283,0.526464865,0.444383427,"Head",2,2,2,2
284,0.545713184,0.589589636,"Head",2,2,2,2
285,0.345579684,0.451227266,"Head",2,2,2,2
286,0.650714347,0.636495237,"Head",3,3,1,3
287,0.742532861,0.534712514,"Head",3,3,1,3
288,0.68232732,0.635245837,"Head",3,3,1,3
289,0.508134443,0.563505045,"Head",2,2,2,2
290,0.522107958,0.387819765,"Head",2,2,2,2
291,0.22251832,0.788329871,"Ear_left",1,1,3,1
292,0.145966803,0.763231006,"Ear_left",1,1,3,1
293,0.237499442,0.765598415,"Ear_left",1,1,3,1
294,0.198028585,0.709898257,"Ear_left",1,1,3,1
295,0.261664683,0.670441875,"Ear_left",1,1,3,1
296,0.203041695,0.734797514,"Ear_left",1,1,3,1
297,0.306490416,0.690291956,"Ear_left",1,1,3,1
298,0.284277764,0.738365511,"Ear_left",1,1,3,1
299,0.205309673,0.74281701,"Ear_left",1,1,3,1
300,0.207718374,0.750787303,"Ear_left",1,1,3,1
301,0.238798595,0.754312236,"Ear_left",1,1,3,1
302,0.218019578,0.718603417,"Ear_left",1,1,3,1
303,0.215244611,0.771191705,"Ear_left",1,1,3,1
304,0.203935084,0.780359625,"Ear_left",1,1,3,1
305,0.260757202,0.718573999,"Ear_left",1,1,3,1
306,0.293135146,0.714649475,"Ear_left",1,1,3,1
307,0.203996145,0.818481352,"Ear_left",1,1,3,1
308,0.280356807,0.716128976,"Ear_left",1,1,3,1
309,0.222447944,0.672762552,"Ear_left",1,1,3,1
310,0.187957281,0.7862968,"Ear_left",1,1,3,1
311,0.287297449,0.794590039,"Ear_left",1,1,3,1
312,0.271275322,0.75217995,"Ear_left",1,1,3,1
313,0.25260232,0.73756882,"Ear_left",1,1,3,1
314,0.209213103,0.754348463,"Ear_left",1,1,3,1
315,0.275276373,0.785318129,"Ear_left",1,1,3,1
316,0.202908114,0.705182171,"Ear_left",1,1,3,1
317,0.237559087,0.825106558,"Ear_left",1,1,3,1
318,0.196436599,0.730511204,"Ear_left",1,1,3,1
319,0.251461542,0.79834554,"Ear_left",1,1,3,1
320,0.229272812,0.737001377,"Ear_left",1,1,3,1
321,0.298322546,0.760929794,"Ear_left",1,1,3,1
322,0.202967734,0.79845801,"Ear_left",1,1,3,1
323,0.243986903,0.803251272,"Ear_left",1,1,3,1
324,0.282345438,0.650721846,"Ear_left",1,1,3,1
325,0.260553834,0.723527286,"Ear_left",1,1,3,1
326,0.268757825,0.724368894,"Ear_left",1,1,3,1
327,0.306380966,0.789958202,"Ear_left",1,1,3,1
328,0.264704377,0.761520127,"Ear_left",1,1,3,1
329,0.182989674,0.72789449,"Ear_left",1,1,3,1
330,0.217024639,0.736827961,"Ear_left",1,1,3,1
331,0.181823987,0.774030245,"Ear_left",1,1,3,1
332,0.306559326,0.733795933,"Ear_left",1,1,3,1
333,0.23527779,0.738042208,"Ear_left",1,1,3,1
334,0.310009026,0.788579458,"Ear_left",1,1,3,1
335,0.210345558,0.687493224,"Ear_left",1,1,3,1
336,0.254112471,0.765649395,"Ear_left",1,1,3,1
337,0.278149027,0.727107938,"Ear_left",1,1,3,1
338,0.266082956,0.791596761,"Ear_left",1,1,3,1
339,0.300329967,0.723457386,"Ear_left",1,1,3,1
340,0.181521516,0.709533832,"Ear_left",1,1,3,1
341,0.251277625,0.7438695,"Ear_left",1,1,3,1
342,0.309862657,0.777536077,"Ear_left",1,1,3,1
343,0.230745979,0.682410089,"Ear_left",1,1,3,1
344,0.215698808,0.762004692,"Ear_left",1,1,3,1
345,0.183517955,0.798141297,"Ear_left",1,1,3,1
346,0.20625837,0.769156073,"Ear_left",1,1,3,1
347,0.294750374,0.748684733,"Ear_left",1,1,3,1
348,0.328114488,0.810448047,"Ear_left",1,1,3,1
349,0.208239343,0.738763403,"Ear_left",1,1,3,1
350,0.230558746,0.694913065,"Ear_left",1,1,3,1
351,0.244398705,0.765492638,"Ear_left",1,1,3,1
352,0.286691085,0.761409481,"Ear_left",1,1,3,1
353,0.301483854,0.703444148,"Ear_left",1,1,3,1
354,0.252824484,0.775523407,"Ear_left",1,1,3,1
355,0.322085705,0.760092812,"Ear_left",1,1,3,1
356,0.255789061,0.7494393,"Ear_left",1,1,3,1
357,0.171957835,0.73686355,"Ear_left",1,1,3,1
358,0.188027929,0.724450806,"Ear_left",1,1,3,1
359,0.169384589,0.715420181,"Ear_left",1,1,3,1
360,0.189601717,0.682044328,"Ear_left",1,1,3,1
361,0.254090146,0.79161986,"Ear_left",1,1,3,1
362,0.257568499,0.743444005,"Ear_left",1,1,3,1
363,0.217110194,0.729390708,"Ear_left",1,1,3,1
364,0.228626372,0.766757362,"Ear_left",1,1,3,1
365,0.25254817,0.789807285,"Ear_left",1,1,3,1
366,0.307383782,0.701516815,"Ear_left",1,1,3,1
367,0.281927532,0.768905388,"Ear_left",1,1,3,1
368,0.269480714,0.837375853,"Ear_left",1,1,3,1
369,0.258821822,0.725529629,"Ear_left",1,1,3,1
370,0.242135412,0.820011553,"Ear_left",1,1,3,1
371,0.262916527,0.703667804,"Ear_left",1,1,3,1
372,0.254688444,0.761416354,"Ear_left",1,1,3,1
373,0.237450151,0.726708586,"Ear_left",1,1,3,1
374,0.304001015,0.80090673,"Ear_left",1,1,3,1
375,0.257958082,0.718935668,"Ear_left",1,1,3,1
376,0.266345872,0.75200181,"Ear_left",1,1,3,1
377,0.298643431,0.700208898,"Ear_left",1,1,3,1
378,0.25924847,0.776363558,"Ear_left",1,1,3,1
379,0.205993591,0.740039982,"Ear_left",1,1,3,1
380,0.217882908,0.740314018,"Ear_left",1,1,3,1
381,0.317957678,0.749793213,"Ear_left",1,1,3,1
382,0.213828567,0.794344693,"Ear_left",1,1,3,1
383,0.255767563,0.694139637,"Ear_left",1,1,3,1
384,0.252223714,0.794394001,"Ear_left",1,1,3,1
385,0.300217723,0.743089979,"Ear_left",1,1,3,1
386,0.19708666,0.795476432,"Ear_left",1,1,3,1
387,0.318762468,0.766944979,"Ear_left",1,1,3,1
388,0.220210422,0.842879398,"Ear_left",1,1,3,1
389,0.356481898,0.782707269,"Ear_left",1,1,3,1
390,0.18097221,0.781298692,"Ear_left",1,1,3,1
391,0.837799737,0.753835888,"Ear_right",3,3,1,3
392,0.729453857,0.77958367,"Ear_right",3,3,1,3
393,0.680652189,0.717768935,"Ear_right",3,3,1,3
394,0.763880983,0.657228209,"Ear_right",3,3,1,3
395,0.780885319,0.659273495,"Ear_right",3,3,1,3
396,0.8311747,0.726220626,"Ear_right",3,3,1,3
397,0.743277822,0.684102923,"Ear_right",3,3,1,3
398,0.680688321,0.747536864,"Ear_right",3,3,1,3
399,0.850618735,0.79908037,"Ear_right",3,3,1,3
400,0.756900085,0.795253852,"Ear_right",3,3,1,3
401,0.763089945,0.68529254,"Ear_right",3,3,1,3
402,0.708733126,0.765535222,"Ear_right",3,3,1,3
403,0.703148669,0.79964659,"Ear_right",3,3,1,3
404,0.695686926,0.759007915,"Ear_right",3,3,1,3
405,0.770220159,0.749528422,"Ear_right",3,3,1,3
406,0.702371145,0.768924986,"Ear_right",3,3,1,3
407,0.753402296,0.799367968,"Ear_right",3,3,1,3
408,0.689290382,0.734876297,"Ear_right",3,3,1,3
409,0.765108296,0.674733173,"Ear_right",3,3,1,3
410,0.705215264,0.676825657,"Ear_right",3,3,1,3
411,0.711615617,0.817486736,"Ear_right",3,3,1,3
412,0.711351969,0.742594037,"Ear_right",3,3,1,3
413,0.706427376,0.796026414,"Ear_right",3,3,1,3
414,0.794079343,0.707337955,"Ear_right",3,3,1,3
415,0.823715106,0.679473231,"Ear_right",3,3,1,3
416,0.798465757,0.700146351,"Ear_right",3,3,1,3
417,0.766575763,0.756668423,"Ear_right",3,3,1,3
418,0.725869105,0.664606105,"Ear_right",3,3,1,3
419,0.754130483,0.723859731,"Ear_right",3,3,1,3
420,0.744878216,0.739472619,"Ear_right",3,3,1,3
421,0.787202386,0.817325416,"Ear_right",3,3,1,3
422,0.783092489,0.731655816,"Ear_right",3,3,1,3
423,0.765197108,0.769294281,"Ear_right",3,3,1,3
424,0.752010662,0.687644087,"Ear_right",3,3,1,3
425,0.796145985,0.839368864,"Ear_right",3,3,1,3
426,0.6509475,0.782796849,"Ear_right",3,3,1,3
427,0.801206076,0.712563451,"Ear_right",3,3,1,3
428,0.806195495,0.724952204,"Ear_right",3,3,1,3
429,0.727537208,0.698338876,"Ear_right",3,3,1,3
430,0.772881272,0.744732139,"Ear_right",3,3,1,3
431,0.780252413,0.724147037,"Ear_right",3,3,1,3
432,0.76990653,0.793218585,"Ear_right",3,3,1,3
433,0.812395764,0.706817136,"Ear_right",3,3,1,3
434,0.730404601,0.720324992,"Ear_right",3,3,1,3
435,0.705622459,0.774470827,"Ear_right",3,3,1,3
436,0.753938227,0.695374609,"Ear_right",3,3,1,3
437,0.736188133,0.820387588,"Ear_right",3,3,1,3
438,0.711401344,0.729417774,"Ear_right",3,3,1,3
439,0.728390386,0.740095037,"Ear_right",3,3,1,3
440,0.819922459,0.662486441,"Ear_right",3,3,1,3
441,0.693293173,0.748372038,"Ear_right",3,3,1,3
442,0.788716385,0.65533738,"Ear_right",3,3,1,3
443,0.758734655,0.714384028,"Ear_right",3,3,1,3
444,0.743645108,0.741107199,"Ear_right",3,3,1,3
445,0.839976341,0.739751213,"Ear_right",3,3,1,3
446,0.71955661,0.757734972,"Ear_right",3,3,1,3
447,0.738706561,0.713457351,"Ear_right",3,3,1,3
448,0.75857182,0.741501144,"Ear_right",3,3,1,3
449,0.726016599,0.719915534,"Ear_right",3,3,1,3
450,0.761046704,0.766615784,"Ear_right",3,3,1,3
451,0.744639088,0.770545669,"Ear_right",3,3,1,3
452,0.804237694,0.793427266,"Ear_right",3,3,1,3
453,0.843634259,0.723509085,"Ear_right",3,3,1,3
454,0.761576445,0.773510368,"Ear_right",3,3,1,3
455,0.744747163,0.812900186,"Ear_right",3,3,1,3
456,0.698756677,0.699283456,"Ear_right",3,3,1,3
457,0.836569859,0.739527344,"Ear_right",3,3,1,3
458,0.705538417,0.803262354,"Ear_right",3,3,1,3
459,0.740565845,0.72200129,"Ear_right",3,3,1,3
460,0.756813606,0.751540236,"Ear_right",3,3,1,3
461,0.675660164,0.758651507,"Ear_right",3,3,1,3
462,0.709715086,0.71244381,"Ear_right",3,3,1,3
463,0.667733847,0.698238916,"Ear_right",3,3,1,3
464,0.669730607,0.695026233,"Ear_right",3,3,1,3
465,0.685275491,0.781082155,"Ear_right",3,3,1,3
466,0.767339464,0.772005716,"Ear_right",3,3,1,3
467,0.811667198,0.796389167,"Ear_right",3,3,1,3
468,0.73539549,0.763057512,"Ear_right",3,3,1,3
469,0.730492824,0.728484957,"Ear_right",3,3,1,3
470,0.735357614,0.813521908,"Ear_right",3,3,1,3
471,0.829462601,0.776792946,"Ear_right",3,3,1,3
472,0.747674614,0.719859792,"Ear_right",3,3,1,3
473,0.69273274,0.670002374,"Ear_right",3,3,1,3
474,0.752236517,0.660460621,"Ear_right",3,3,1,3
475,0.762326392,0.802484947,"Ear_right",3,3,1,3
476,0.668586601,0.781769464,"Ear_right",3,3,1,3
477,0.770108481,0.705184788,"Ear_right",3,3,1,3
478,0.786298928,0.69006528,"Ear_right",3,3,1,3
479,0.683046914,0.764038217,"Ear_right",3,3,1,3
480,0.644679231,0.763977087,"Ear_right",3,3,1,3
481,0.743158959,0.772514197,"Ear_right",3,3,1,3
482,0.728660128,0.666685034,"Ear_right",3,3,1,3
483,0.706735917,0.787746587,"Ear_right",3,3,1,3
484,0.739423366,0.786025905,"Ear_right",3,3,1,3
485,0.749466614,0.732813183,"Ear_right",3,3,1,3
486,0.824841852,0.713415716,"Ear_right",3,3,1,3
487,0.823958665,0.767519017,"Ear_right",3,3,1,3
488,0.815514941,0.713517016,"Ear_right",3,3,1,3
489,0.785691423,0.681913843,"Ear_right",3,3,1,3
490,0.70826683,0.761234228,"Ear_right",3,3,1,3
491,0.290949978,0.855766687,"Noise",1,1,3,1
492,0.750067602,0.897027661,"Noise",3,3,1,3
493,0.040554928,0.507240079,"Noise",1,1,3,1
494,0.835161911,0.138940388,"Noise",2,2,2,2
495,0.174740332,0.363686112,"Noise",2,2,2,2
496,0.151506125,0.876585663,"Noise",1,1,3,1
497,0.860308285,0.6338334,"Noise",3,3,1,3
498,0.86208259,0.591805384,"Noise",3,3,1,3
499,0.916029808,0.523390593,"Noise",3,3,1,3
500,0.427325473,0.833766574,"Noise",1,1,3,1
